"","lat","lon","modality","units","O3_cal","O3","reg_site","timestamp"
"1",37.9722,-122.5189,"OZONE","PPB",23,22.9,"San Rafael",2020-06-30 23:00:00
"2",37.7658,-122.3978,"OZONE","PPB",26,26.8,"San Francisco",2020-06-30 23:00:00
"3",37.9604,-122.3571,"OZONE","PPB",25,25.5,"San Pablo",2020-06-30 23:00:00
"4",37.864767,-122.302741,"OZONE","PPB",19,21.6,"Berkeley",2020-06-30 23:00:00
"5",37.8148,-122.282402,"OZONE","PPB",23,25.4,"Oakland",2020-06-30 23:00:00
"6",38.102507,-122.237976,"OZONE","PPB",27,28.9,"Vallejo",2020-06-30 23:00:00
"7",37.743061,-122.169907,"OZONE","PPB",23,24.5,"San Leandro",2020-06-30 23:00:00
"8",37.9383,-122.025,"OZONE","PPB",36,33,"Concord",2020-06-30 23:00:00
"9",37.9722,-122.5189,"OZONE","PPB",23,22.6,"San Rafael",2020-06-30 22:00:00
"10",37.7658,-122.3978,"OZONE","PPB",26,28.8,"San Francisco",2020-06-30 22:00:00
"11",37.9604,-122.3571,"OZONE","PPB",25,27.7,"San Pablo",2020-06-30 22:00:00
"12",37.864767,-122.302741,"OZONE","PPB",19,23.9,"Berkeley",2020-06-30 22:00:00
"13",37.8148,-122.282402,"OZONE","PPB",24,24.9,"Oakland",2020-06-30 22:00:00
"14",38.102507,-122.237976,"OZONE","PPB",28,29,"Vallejo",2020-06-30 22:00:00
"15",37.743061,-122.169907,"OZONE","PPB",24,25.8,"San Leandro",2020-06-30 22:00:00
"16",37.9383,-122.025,"OZONE","PPB",37,37.4,"Concord",2020-06-30 22:00:00
"17",37.9722,-122.5189,"OZONE","PPB",23,24.1,"San Rafael",2020-06-30 21:00:00
"18",37.7658,-122.3978,"OZONE","PPB",26,28.3,"San Francisco",2020-06-30 21:00:00
"19",37.9604,-122.3571,"OZONE","PPB",24,27.1,"San Pablo",2020-06-30 21:00:00
"20",37.864767,-122.302741,"OZONE","PPB",19,19.7,"Berkeley",2020-06-30 21:00:00
"21",37.8148,-122.282402,"OZONE","PPB",23,25.7,"Oakland",2020-06-30 21:00:00
"22",38.102507,-122.237976,"OZONE","PPB",27,28.9,"Vallejo",2020-06-30 21:00:00
"23",37.743061,-122.169907,"OZONE","PPB",24,24.1,"San Leandro",2020-06-30 21:00:00
"24",37.9383,-122.025,"OZONE","PPB",38,44.4,"Concord",2020-06-30 21:00:00
"25",37.9722,-122.5189,"OZONE","PPB",23,25.2,"San Rafael",2020-06-30 20:00:00
"26",37.7658,-122.3978,"OZONE","PPB",25,26.4,"San Francisco",2020-06-30 20:00:00
"27",37.9604,-122.3571,"OZONE","PPB",23,26.1,"San Pablo",2020-06-30 20:00:00
"28",37.864767,-122.302741,"OZONE","PPB",17,16.9,"Berkeley",2020-06-30 20:00:00
"29",37.8148,-122.282402,"OZONE","PPB",21,27.4,"Oakland",2020-06-30 20:00:00
"30",38.102507,-122.237976,"OZONE","PPB",27,30.4,"Vallejo",2020-06-30 20:00:00
"31",37.743061,-122.169907,"OZONE","PPB",24,26.3,"San Leandro",2020-06-30 20:00:00
"32",37.9383,-122.025,"OZONE","PPB",38,45.2,"Concord",2020-06-30 20:00:00
"33",37.9722,-122.5189,"OZONE","PPB",22,24.9,"San Rafael",2020-06-30 19:00:00
"34",37.7658,-122.3978,"OZONE","PPB",23,26.3,"San Francisco",2020-06-30 19:00:00
"35",37.9604,-122.3571,"OZONE","PPB",22,26.5,"San Pablo",2020-06-30 19:00:00
"36",37.864767,-122.302741,"OZONE","PPB",16,17.2,"Berkeley",2020-06-30 19:00:00
"37",37.8148,-122.282402,"OZONE","PPB",19,26.5,"Oakland",2020-06-30 19:00:00
"38",38.102507,-122.237976,"OZONE","PPB",25,33.1,"Vallejo",2020-06-30 19:00:00
"39",37.743061,-122.169907,"OZONE","PPB",22,22,"San Leandro",2020-06-30 19:00:00
"40",37.9383,-122.025,"OZONE","PPB",37,41.7,"Concord",2020-06-30 19:00:00
"41",37.9722,-122.5189,"OZONE","PPB",21,25.9,"San Rafael",2020-06-30 18:00:00
"42",37.7658,-122.3978,"OZONE","PPB",22,24.6,"San Francisco",2020-06-30 18:00:00
"43",37.9604,-122.3571,"OZONE","PPB",20,24.3,"San Pablo",2020-06-30 18:00:00
"44",37.864767,-122.302741,"OZONE","PPB",14,17.7,"Berkeley",2020-06-30 18:00:00
"45",37.8148,-122.282402,"OZONE","PPB",17,21,"Oakland",2020-06-30 18:00:00
"46",38.102507,-122.237976,"OZONE","PPB",23,25.1,"Vallejo",2020-06-30 18:00:00
