"ID","O3.proxy","NO2.proxy","PM25.proxy"
"AQY BB-607","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-608","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-609","Vallejo","Vallejo","San Pablo - Rumrill"
"AQY BB-610","Vallejo","Vallejo","San Pablo - Rumrill"
"AQY BB-611","Vallejo","Vallejo","San Pablo - Rumrill"
"AQY BB-633","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-634","San Leandro","San Leandro","San Pablo - Rumrill"
"AQY BB-635","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-636","San Leandro","San Leandro","San Pablo - Rumrill"
"AQY BB-637","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-638","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-639","San Leandro","San Leandro","San Pablo - Rumrill"
"AQY BB-640","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-641","Vallejo","Vallejo","San Pablo - Rumrill"
"AQY BB-642","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-643","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-644","Vallejo","Vallejo","San Pablo - Rumrill"
"AQY BB-645","Berkeley Aquatic Park","Berkeley Aquatic Park","San Pablo - Rumrill"
"AQY BB-646","Berkeley Aquatic Park","Berkeley Aquatic Park","San Pablo - Rumrill"
"AQY BB-647","Berkeley Aquatic Park","Berkeley Aquatic Park","San Pablo - Rumrill"
"AQY BB-648","San Leandro","San Leandro","Berkeley Aquatic Park"
"AQY BB-649","San Ramon","San Ramon","San Pablo - Rumrill"
"AQY BB-650","Berkeley Aquatic Park","Berkeley Aquatic Park","San Pablo - Rumrill"
"AQY BB-651","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-652","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-787","Vallejo","Vallejo","San Pablo - Rumrill"
"AQY BB-788","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-789","San Leandro","San Leandro","San Pablo - Rumrill"
"AQY BB-790","San Leandro","San Leandro","San Pablo - Rumrill"
"AQY BB-791","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-792","Concord","Concord","San Pablo - Rumrill"
"AQY BB-793","San Leandro","San Leandro","Berkeley Aquatic Park"
"AQY BB-794","Vallejo","Vallejo","San Pablo - Rumrill"
"AQY BB-795","San Ramon","San Ramon","San Pablo - Rumrill"
"AQY BB-796","San Ramon","San Ramon","San Pablo - Rumrill"
"AQY BB-797","Concord","Concord","San Pablo - Rumrill"
"AQY BB-798","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-799","San Leandro","San Leandro","San Pablo - Rumrill"
"AQY BB-800","San Leandro","San Leandro","San Pablo - Rumrill"
"AQY BB-801","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-802","Livermore - Rincon","Livermore - Rincon","San Pablo - Rumrill"
"AQY BB-803","Livermore - Rincon","Livermore - Rincon","San Pablo - Rumrill"
"AQY BB-804","Vallejo","Vallejo","San Pablo - Rumrill"
"AQY BB-805","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-806","Vallejo","Vallejo","San Pablo - Rumrill"
"AQY BB-807","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-808","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-809","San Leandro","San Leandro","San Pablo - Rumrill"
"AQY BB-810","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BB-811","San Leandro","San Leandro","San Pablo - Rumrill"
"AQY BB-897","Vallejo","Vallejo","San Pablo - Rumrill"
"AQY BB-898","San Leandro","San Leandro","San Pablo - Rumrill"
"AQY BE-645A","San Pablo - Rumrill","San Pablo - Rumrill","San Pablo - Rumrill"
"AQY BE-803A","San Leandro","San Leandro","San Pablo - Rumrill"
"AQY NA","Dublin Dougherty",NA,NA
"AQY NA","Napa",NA,NA
"AQY NA",NA,"Dublin Dougherty",NA
"AQY NA",NA,"Napa",NA
"AQY NA",NA,NA,"Livermore - Rincon"
"AQY NA",NA,NA,"Dublin Dougherty"
"AQY NA",NA,NA,"San Leandro"
"AQY NA",NA,NA,"San Ramon"
"AQY NA",NA,NA,"Concord"
"AQY NA",NA,NA,"Vallejo"
"AQY NA",NA,NA,"Napa"
