"ID","deployment_date","deployment_datetime","NO2_proxy_site","Longitude","Latitude","start_date","end_date","NO2.offset","NO2.gain.Ox","NO2.gain.O3"
"AQY BB-607","2019-12-05","2019-12-05 12:30:00","San Pablo - Rumrill",-122.418807,37.962284,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-608","2020-09-17","2020-09-17 10:30:00","San Pablo - Rumrill",-122.346801,37.952227,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-609","2019-12-18","2019-12-18 11:00:00","Vallejo",-122.316503,37.93897,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-610","2020-03-13","2020-03-13 16:00:00","Vallejo",-122.336573,37.951862,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-611","2019-12-05","2019-12-05 09:30:00","Vallejo",-122.367769,37.938903,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-633","2020-06-03","2020-06-03 12:00:00","San Pablo - Rumrill",-122.356809,37.960428,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-634","2019-12-06","2019-12-06 13:00:00","San Leandro",-122.362565,37.923745,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-635","2019-12-09","2019-12-09 18:30:00","San Pablo - Rumrill",-122.356061,37.958616,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-636","2019-12-05","2019-12-05 11:30:00","San Leandro",-122.386987,37.927338,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-637","2019-12-09","2019-12-09 11:30:00","San Pablo - Rumrill",-122.3381,37.939946,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-638","2019-12-21","2019-12-21 14:40:00","San Pablo - Rumrill",-122.362551,37.953197,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-639","2019-12-19","2019-12-19 11:00:00","San Leandro",-122.388734,37.925888,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-640","2019-12-05","2019-12-05 10:30:00","San Pablo - Rumrill",-122.362237,37.958527,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-641","2019-12-06","2019-12-06 14:00:00","Vallejo",-122.340619,37.913046,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-642","2020-06-03","2020-06-03 12:00:00","San Pablo - Rumrill",-122.356809,37.960428,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-643","2019-12-06","2019-12-06 11:00:00","San Pablo - Rumrill",-122.350804,37.978882,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-644","2019-12-06","2019-12-06 17:00:00","Vallejo",-122.33812,37.950787,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-646","2019-12-21","2019-12-21 16:00:00","Berkeley Aquatic Park",-122.350017,37.91678,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-647","2019-12-16","2019-12-16 12:10:00","Berkeley Aquatic Park",-122.326398,37.946382,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
"AQY BB-648","2019-12-05","2019-12-05 13:15:00","San Leandro",-122.307056,37.907775,"2019-01-01 00:00:00","2199-12-31 23:59:59",0,1,1
