"ID","description","address","city","proxy_site","lat","lon","O3.slope","O3.offset","start_date","end_date"
"AQY BB-607","Pt. San Pablo Harbor","1900 Stenmark Drive","Pt. San Pablo","San Pablo",37.962284,-122.418807,0.451934622,7.111716463,"2019-12-05","9999-12-31"
"AQY BB-609","Residence","1910 Ralston Av","Richmond","San Pablo",37.93897,-122.316503,0.765531214,-1.091218866,"2019-12-18","9999-12-31"
"AQY BB-610","Residence","3200 Moran Avenue","Richmond","San Pablo",38.951854,-122.336586,0.901733898,6.213948411,"2020-03-13","9999-12-31"
"AQY BB-611","Residence","521 2nd St","Richmond","San Pablo",37.938903,-122.367769,0.540237425,9.278313584,"2019-12-05","9999-12-31"
"AQY BB-634","Business","600 Hoffman Blvd","Richmond","San Pablo",37.923745,-122.362565,0.812723074,2.433998982,"2019-12-06","9999-12-31"
"AQY BB-635","Residence","1761 14th Street ","San Pablo ","San Pablo",37.958616,-122.356061,0.525430397,7.494022496,"2019-12-09","9999-12-31"
"AQY BB-636","Residence","322 W Richmond Ave","Pt. Richmond","San Pablo",37.927338,-122.386987,0.732925577,3.575965631,"2019-12-05","9999-12-31"
"AQY BB-637","Residence ","630 31st Street","Richmond","San Pablo",37.939946,-122.3381,0.420038142,9.956077537,"2019-12-09","2020-01-05"
"AQY BB-637","Residence ","630 31st Street","Richmond","San Pablo",37.939946,-122.3381,2.0558249997736,-30.5754961378349,"2020-01-06","9999-12-31"
"AQY BB-638","Residence","626 Alamo Ave","Richmond","San Pablo",37.953197,-122.362551,0.379494633,11.69846672,"2019-12-21","9999-12-31"
"AQY BB-639","Residence","222 Water St","Pt. Richmond","San Pablo",37.925888,-122.388734,0.338442739,9.379099946,"2019-12-19","9999-12-31"
"AQY BB-640","Residence","1732 6th St","North Richmond","San Pablo",37.958527,-122.362237,0.313269124,9.24598422,"2019-12-05","9999-12-31"
"AQY BB-641","Residence","116 Bayside Court","Richmond","San Pablo",37.913046,-122.340619,0.842386115,-1.014853825,"2019-12-06","9999-12-31"
"AQY BB-643","Residence","3327 11th Street","San Pablo","San Pablo",37.978882,-122.350804,0.488534628,11.44819616,"2019-12-06","9999-12-31"
"AQY BB-644","Residence","2927 Maricopa Ave","Richmond","San Pablo",37.950787,-122.33812,0.561723531,11.34524732,"2019-12-06","2020-01-05"
"AQY BB-644","Residence","2927 Maricopa Ave","Richmond","San Pablo",37.950787,-122.33812,1.44677207549916,-19.8300969058859,"2020-01-06","9999-12-31"
"AQY BB-645","Residence","775 Lassen st","Richmond","San Pablo",37.943383,-122.326871,0.597374972,3.676255115,"2019-12-09","9999-12-31"
"AQY BB-646","Residence","127 Schooner Court","Richmond","San Pablo",37.91678,-122.350017,0.48694339,5.374168759,"2019-12-21","9999-12-31"
"AQY BB-647","Residence","5222 Esmond Ave","Richmond","San Pablo",37.946382,-122.326398,0.980464449,-1.01842836,"2019-12-16","9999-12-31"
"AQY BB-648","Residence","6205 Panama Avenue","Richmond Annex","Berkeley",37.907775,-122.307056,0.503311611,15.68162606,"2019-12-05","9999-12-31"
"AQY BB-649","Residence","6526 Kensington Ave","Richmond","San Pablo",37.940881,-122.309832,0.356034804,12.67859435,"2019-12-06","9999-12-31"
"AQY BB-651","Residence ","444 30th St","Richmond","San Pablo",37.936658,-122.339732,0.595537191,12.3066779,"2019-12-09","9999-12-31"
"AQY BB-652","Residence","2111 Barrett Ave","Richmond","San Pablo",37.938642,-122.349205,0.445220953,1.960011195,"2019-12-16","9999-12-31"
"AQY BB-788","Residence","2334 Andrade Ave","Richmond","San Pablo",37.94755,-122.346511,0.947712954,-0.570952734,"2020-03-05","9999-12-31"
"AQY BB-793","Residence","5626 Bayview Avenue","Richmond","Berkeley",37.915453,-122.315955,1.012911677,-0.642976131,"2020-03-13","9999-12-31"
"AQY BB-794","Residence","968 36th St","Richmond","San Pablo",37.946713,-122.332639,1.180422498,-1.221985003,"2020-03-19","9999-12-31"
"AQY BB-795","Residence","4613 Wildwood Court","Richmond","San Pablo",37.975904,-122.284784,1.030350373,0.669408469,"2020-03-06","9999-12-31"
"AQY BB-798","Urban Farm","323 Brookside Dr","Richmond","San Pablo",37.965249,-122.366437,0.990752428,-1.948370649,"2020-03-12","9999-12-31"
"AQY BB-801","Community college","2600 Mission Bell Dr.","San Pablo","San Pablo",37.971666,-122.33952,0.973704712,0.501062137,"2020-05-11","9999-12-31"
"AQY BB-803","Residence","988 St. Andrews Dr.","El Sobrante","San Pablo",37.985959,-122.303358,0.923899605,4.614666493,"2020-03-19","9999-12-31"
"AQY BB-805","Brickyard Landing, HOA","Brickyard Landing","Richmond","San Pablo",37.912533,-122.379561,1.019566724,-0.898340045,"2020-03-05","9999-12-31"
"AQY BB-806","Fire Station","1065 7th St","Richmond","San Pablo",37.948007,-122.364858,0.872866225,-0.290580572,"2020-05-12","9999-12-31"
"AQY BB-808","Community college","2600 Mission Bell Dr.","San Pablo","San Pablo",37.969085,-122.335865,1.111495563,-2.233950237,"2020-05-11","9999-12-31"
"AQY BB-809","Residence","5013 Barrett Ave","Richmond","San Pablo",37.935882,-122.323812,0.94697976,1.922711893,"2020-03-03","9999-12-31"
