"ID","TIME","TIMESTAMP","LATITUDE","LONGITUDE","DEPLOYMENT.DATE","DEPLOYMENT.DATETIME","O3.GAIN.PSE","O3.OFFSET.PSE","O3.GAIN.AQ","O3.OFFSET.AQ","O3.PROXY","O3.RAW","O3.PSE","O3.AQ","NO2.RAW","NO2.AQ"
"AQY BB-633","2020-07-06 07:00:00",2020-07-06 07:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,26.1,31.37,26.79,27.34,-7.15,0.51
"AQY BB-642","2020-07-06 07:00:00",2020-07-06 07:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,26.1,27.83,27.38,27.6,-0.32,0.78
"AQY BB-633","2020-07-06 08:00:00",2020-07-06 08:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,25.2,30.91,25.86,26.41,-6.18,1.28
"AQY BB-642","2020-07-06 08:00:00",2020-07-06 08:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,25.2,27.47,26.47,26.72,-0.25,1.09
"AQY BB-633","2020-07-06 09:00:00",2020-07-06 09:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,26.7,31.81,27.68,28.24,-7.12,0.27
"AQY BB-642","2020-07-06 09:00:00",2020-07-06 09:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,26.7,28.05,27.94,28.14,-0.99,0.31
"AQY BB-633","2020-07-06 10:00:00",2020-07-06 10:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,24,31.76,27.58,28.14,-7.63,0.04
"AQY BB-642","2020-07-06 10:00:00",2020-07-06 10:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,24,27.85,27.43,27.65,-1.17,0.36
"AQY BB-633","2020-07-06 11:00:00",2020-07-06 11:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,23,31,26.05,26.59,-7.09,0.76
"AQY BB-642","2020-07-06 11:00:00",2020-07-06 11:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,23,27.52,26.59,26.84,-1.81,0.31
"AQY BB-633","2020-07-06 12:00:00",2020-07-06 12:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,22.2,29.49,23,23.53,-6.94,1.71
"AQY BB-642","2020-07-06 12:00:00",2020-07-06 12:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,22.2,26.16,23.13,23.53,-1.93,1.25
"AQY BB-633","2020-07-06 13:00:00",2020-07-06 13:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,20.5,28.49,20.99,21.5,-5.86,2.84
"AQY BB-642","2020-07-06 13:00:00",2020-07-06 13:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,20.5,25,20.18,20.71,-0.85,2.63
"AQY BB-633","2020-07-06 14:00:00",2020-07-06 14:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,20.4,28.25,20.51,21.01,-3.28,4.3
"AQY BB-642","2020-07-06 14:00:00",2020-07-06 14:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,20.4,24.56,19.06,19.63,0.54,3.61
"AQY BB-633","2020-07-06 15:00:00",2020-07-06 15:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,23.7,29.91,23.85,24.38,-1.45,4.29
"AQY BB-642","2020-07-06 15:00:00",2020-07-06 15:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,23.7,25.82,22.27,22.7,1.3,3.04
"AQY BB-633","2020-07-06 16:00:00",2020-07-06 16:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,22.8,29.88,23.79,24.32,0.74,5.42
"AQY BB-642","2020-07-06 16:00:00",2020-07-06 16:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,22.8,25.61,21.73,22.19,2.88,3.95
"AQY BB-633","2020-07-06 17:00:00",2020-07-06 17:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,25.4,31.38,26.81,27.36,0.81,4.59
"AQY BB-642","2020-07-06 17:00:00",2020-07-06 17:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,25.4,26.7,24.51,24.85,4.68,4
"AQY BB-633","2020-07-06 18:00:00",2020-07-06 18:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,28.4,32.88,29.83,30.41,0.28,3.46
"AQY BB-642","2020-07-06 18:00:00",2020-07-06 18:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,28.4,28,27.81,28.01,5.8,3.56
"AQY BB-633","2020-07-06 19:00:00",2020-07-06 19:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,31,34.07,32.23,32.83,1.89,3.6
"AQY BB-642","2020-07-06 19:00:00",2020-07-06 19:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.54,-43.42,2.44,16.5,31,28.79,29.82,29.94,7.98,4.01
"AQY BB-633","2020-07-06 20:00:00",2020-07-06 20:00:00,37.960428,-122.356809,"2020-06-03","2020-06-03 12:00:00",2.01,-36.39,2.03,17.9,30.8,33.89,31.87,32.46,1.24,3.36
