ID,description,address,city,proxy_site,start_date,end_date,lat,long,O3.slope,O3.intercept,O3.gain,O3.offset,Ox.slope,Ox.intercept,Ox.gain,Ox.offset,NO2.slope,NO2.intercept,NO2.gain,NO2.offset,PM.slope,PM.intercept,PM.gain,PM.offset
AQY BB-607,Pt. San Pablo Harbor,1900 Stenmark Drive,Pt. San Pablo,San Pablo,12/5/2019,,37.962284,-122.418807,0.451934622,7.111716463,2.21270943,7.111716463,0.654139341,-12.43919477,1.528726279,-12.43919477,0.509621956,11.51037914,1.962238847,11.51037914,0.633102335,0.218985626,1.579523475,0.218985626
AQY BB-609,Residence,1910 Ralston Av,Richmond,San Pablo,12/18/2019,,37.93897,-122.316503,0.765531214,-1.091218866,1.306282463,-1.091218866,0.723192764,-5.077000661,1.382757199,-5.077000661,0.532097437,10.91003408,1.879355039,10.91003408,0.779385008,0.490685663,1.283062915,0.490685663
AQY BB-610,Residence,3200 Moran Avenue,Richmond,San Pablo,3/13/2020,,37.951816,-122.3366,0.901733898,6.213948411,1.108974613,6.213948411,1.206717398,-14.01296919,0.828694441,-14.01296919,0.90916,-3.20359,1.099916406,-3.20359,1.491182983,-2.043479071,0.670608511,-2.043479071
AQY BB-611,Residence,521 2nd St,Richmond,San Pablo,12/5/2019,,37.938903,-122.367769,0.540237425,9.278313584,1.851037996,9.278313584,0.999670054,-21.37410435,1.000330055,-21.37410435,0.545027,7.50228,1.834771488,7.50228,0.733739,-0.45989,1.362882442,-0.45989
AQY BB-634,Business,600 Hoffman Blvd,Richmond,San Pablo,12/6/2019,,37.923745,-122.362565,0.812723074,2.433998982,1.230431412,2.433998982,1.056810663,-1.72738199,0.946243292,-1.72738199,0.829396054,2.968857691,1.205696597,2.968857691,0.8326711,-0.313164,1.200954374,-0.313164
AQY BB-635,Residence,1761 14th Street ,San Pablo ,San Pablo,12/9/2019,,37.958616,-122.356061,0.525430397,7.494022496,1.903201654,7.494022496,0.995181703,5.00964401,1.004841626,5.00964401,0.796091224,3.858466707,1.25613745,3.858466707,0.784826732,-0.003949777,1.274166589,-0.003949777
AQY BB-636,Residence,322 W Richmond Ave,Pt. Richmond,San Pablo,12/5/2019,,37.927338,-122.386987,0.732925577,3.575965631,1.36439501,3.575965631,0.792654429,11.37242546,1.261583817,11.37242546,1.041947525,-2.708628269,0.959741231,-2.708628269,0.85740552,0.06115159,1.166309263,0.06115159
AQY BB-637,Residence ,630 31st Street,Richmond,San Pablo,12/9/2019,,37.939946,-122.3381,0.420038142,9.956077537,2.380736176,9.956077537,1.006449441,1.702793426,0.993591888,1.702793426,0.831832219,2.903785018,1.202165505,2.903785018,0.982326729,0.231487033,1.017991235,0.231487033
AQY BB-638,Residence,626 Alamo Ave,Richmond,San Pablo,12/21/2019,,37.953197,-122.362551,0.379494633,11.69846672,2.635083381,11.69846672,0.846088828,8.313392907,1.181908999,8.313392907,1.031441732,-2.428006872,0.969516715,-2.428006872,0.696499837,-0.198485813,1.435750515,-0.198485813
AQY BB-639,Residence,222 Water St,Pt. Richmond,San Pablo,12/19/2019,,37.925888,-122.388734,0.338442739,9.379099946,2.954709568,9.379099946,0.904773203,14.10710093,1.105249356,14.10710093,1.089887434,-3.989156503,0.917525947,-3.989156503,0.896793046,0.488106342,1.115084472,0.488106342
AQY BB-640,Residence,1732 6th St,North Richmond,San Pablo,12/5/2019,,37.958527,-122.362237,0.313269124,9.24598422,3.192143504,9.24598422,0.908068118,8.010193447,1.101238971,8.010193447,0.934923367,0.150105922,1.069606383,0.150105922,0.7669352,-0.013704388,1.303891124,-0.013704388
AQY BB-641,Residence,116 Bayside Court,Richmond,San Pablo,12/6/2019,,37.913046,-122.340619,0.842386115,-1.014853825,1.187104087,-1.014853825,0.889043089,24.63586178,1.124804874,24.63586178,0.984914709,-1.185218382,1.015316342,-1.185218382,0.750644026,0.021633246,1.332189381,0.021633246
AQY BB-643,Residence,3327 11th Street,San Pablo,San Pablo,12/6/2019,,37.978882,-122.350804,0.488534628,11.44819616,2.046937808,11.44819616,0.925533237,12.46007406,1.080458227,12.46007406,0.92639154,0.378000501,1.079457181,0.378000501,0.808350845,-0.176003152,1.237086602,-0.176003152
AQY BB-644,Residence,2927 Maricopa Ave,Richmond,San Pablo,12/6/2019,,37.950787,-122.33812,0.561723531,11.34524732,1.780235197,11.34524732,0.890987117,10.79118574,1.122350683,10.79118574,0.986069502,-1.216064196,1.014127298,-1.216064196,0.820588326,-0.043634748,1.218637858,-0.043634748
AQY BB-645,Residence,775 Lassen st,Richmond,San Pablo,12/9/2019,,37.943383,-122.326871,0.597374972,3.676255115,1.673990453,3.676255115,0.930206971,6.764919235,1.07502957,6.764919235,0.977560683,-0.988784172,1.022954398,-0.988784172,0.584943709,-0.076190122,1.709566211,-0.076190122
AQY BB-646,Residence,127 Schooner Court,Richmond,San Pablo,12/21/2019,,37.91678,-122.350017,0.48694339,5.374168759,2.05362681,5.374168759,1.099686952,-7.744572804,0.9093497,-7.744572804,0.771811641,4.532795204,1.295652912,4.532795204,0.681625878,-0.260202993,1.46708045,-0.260202993
AQY BB-647,Residence,5222 Esmond Ave,Richmond,San Pablo,12/16/2019,,37.946382,-122.326398,0.980464449,-1.01842836,1.019924793,-1.01842836,0.758473878,-8.755494869,1.318436968,-8.755494869,0.459612735,12.84618102,2.175744762,12.84618102,0.786556017,-0.204683928,1.271365266,-0.204683928
AQY BB-648,Residence,6205 Panama Avenue,Richmond Annex,Berkeley,12/5/2019,,37.907775,-122.307056,0.503311611,15.68162606,1.986840711,15.68162606,1.121922486,-13.02680875,0.891327175,-13.02680875,0.4760425,12.37443903,2.100652777,12.37443903,0.905644,0.332651,1.104186634,0.332651
AQY BB-649,Residence,6526 Kensington Ave,Richmond,San Pablo,12/6/2019,,37.940881,-122.309832,0.356034804,12.67859435,2.808714176,12.67859435,0.910187184,-13.39478672,1.098675105,-13.39478672,0.441698083,13.32470126,2.263989901,13.32470126,0.6384136,0.032908665,1.566382671,0.032908665
AQY BB-651,Residence ,444 30th St,Richmond,San Pablo,12/9/2019,,37.936658,-122.339732,0.595537191,12.3066779,1.679156255,12.3066779,0.821894757,-8.245406982,1.21670079,-8.245406982,0.413332162,14.08238653,2.419361693,14.08238653,0.672436463,-0.029634987,1.48712935,-0.029634987
AQY BB-652,Residence,2111 Barrett Ave,Richmond,San Pablo,12/16/2019,,37.938642,-122.349205,0.445220953,1.960011195,2.246075784,1.960011195,0.986820601,-17.00568608,1.013355415,-17.00568608,0.365958497,15.30889999,2.732550297,15.30889999,0.694577,0.975679,1.439725185,0.975679
AQY BB-788,Residence,2334 Andrade Ave,Richmond,San Pablo,3/5/2020,,37.94755,-122.346511,0.947712954,-0.570952734,1.055171818,-0.570952734,1.318606912,15.00459403,0.758376125,15.00459403,1.066127271,-2.177764332,0.937974318,-2.177764332,1.157418352,-0.77268673,0.86399183,-0.77268673
AQY BB-793,Residence,5626 Bayview Avenue,Richmond,Berkeley,3/13/2020,,37.915453,-122.315955,1.012911677,-0.642976131,0.987252909,-0.642976131,1.090542016,8.047035027,0.916975216,8.047035027,1.070876393,-2.235804715,0.93381459,-2.235804715,1.499302485,-1.234782583,0.666976818,-1.234782583
AQY BB-794,Residence,968 36th St,Richmond,San Pablo,3/19/2020,,37.946713,-122.332639,1.180422498,-1.221985003,0.847154304,-1.221985003,0.871328623,14.14824306,1.147672615,14.14824306,1.180613748,-3.576936436,0.847017072,-3.576936436,1.94039321,-2.632502888,0.515359461,-2.632502888
AQY BB-795,Residence,4613 Wildwood Court,Richmond,San Pablo,3/6/2020,,37.975904,-122.284784,1.030350373,0.669408469,0.970543639,0.669408469,1.043294074,9.972749501,0.958502521,9.972749501,1.12181155,-2.858297892,0.891415318,-2.858297892,2.220238376,-1.765104606,0.450402088,-1.765104606
AQY BB-798,Urban Farm,323 Brookside Dr,Richmond,San Pablo,3/12/2020,,37.965249,-122.366437,0.990752428,-1.948370649,1.009333888,-1.948370649,1.051549429,2.567431191,0.950977646,2.567431191,1.07241098,-2.254559335,0.93247833,-2.254559335,1.628963275,-1.948344955,0.613887382,-1.948344955
AQY BB-803,Residence,988 St. Andrews Dr.,El Sobrante,San Pablo,3/19/2020,,37.985959,-122.303358,0.923899605,4.614666493,1.082368684,4.614666493,0.934065589,7.862098614,1.070588631,7.862098614,1.173728921,-3.492794986,0.851985482,-3.492794986,2.223390548,-2.942197248,0.449763538,-2.942197248
AQY BB-805,"Brickyard Landing, HOA",Brickyard Landing,Richmond,San Pablo,3/5/2020,,37.912533,-122.379561,1.019566724,-0.898340045,0.980808785,-0.898340045,1.081260986,10.51881913,0.924846095,10.51881913,1.095272857,-2.533960906,0.9130145,-2.533960906,1.898261815,-1.888382452,0.526797722,-1.888382452
AQY BB-809,Residence,5013 Barrett Ave,Richmond,San Pablo,3/3/2020,,37.935882,-122.323812,0.94697976,1.922711893,1.055988778,1.922711893,0.917573635,8.889501032,1.08983079,8.889501032,1.171234438,-3.462309199,0.853800031,-3.462309199,1.984492261,-2.637711921,0.503907231,-2.637711921
AQY BB-808,Community college,2600 Mission Bell Dr.,San Pablo,San Pablo,5/11/2020,,37.969085,-122.335865,1.111495563,-2.233950237,0.899688701,-2.233950237,1.163849418,10.33638028,0.859217682,10.33638028,1.117588878,-2.822350194,0.894783421,-2.822350194,1.120813589,-0.688841609,0.892209026,-0.688841609
AQY BB-801,Community college,2600 Mission Bell Dr.,San Pablo,San Pablo,5/11/2020,,37.971666,-122.33952,0.973704712,0.501062137,1.027005403,0.501062137,0.884296693,1.819749444,1.13084218,1.819749444,1.177138568,-3.534465263,0.849517658,-3.534465263,1.675390466,-2.156769722,0.596875785,-2.156769722
AQY BB-806,Fire Station,1065 7th St,Richmond,San Pablo,5/12/2020,,37.948007,-122.364858,0.872866225,-0.290580572,1.145650928,-0.290580572,0.917128981,17.67266818,1.090359176,17.67266818,1.191212045,-3.706461266,0.839481102,-3.706461266,2.040756395,-3.078909463,0.49001439,-3.078909463
