"ID","proxy_site","description","address","city","start_date","end_date","lat","lon","O3.gain","O3.offset"
"AQY BB-607","San Pablo - Rumrill","Pt. San Pablo Harbor","1900 Stenmark Drive","Pt. San Pablo","2019-12-05 00:00:00","9999-12-31 23:59:59",37.962284,-122.418807,1,0
"AQY BB-609","San Pablo - Rumrill","Residence","1910 Ralston Av","Richmond","2019-12-18 00:00:00","9999-12-31 23:59:59",37.93897,-122.316503,1,0
"AQY BB-611","San Pablo - Rumrill","Residence","521 2nd St","Richmond","2019-12-05 00:00:00","9999-12-31 23:59:59",37.938903,-122.367769,1,0
"AQY BB-634","San Pablo - Rumrill","Business","600 Hoffman Blvd","Richmond","2019-12-06 00:00:00","9999-12-31 23:59:59",37.923745,-122.362565,1,0
"AQY BB-635","San Pablo - Rumrill","Residence","1761 14th Street ","San Pablo ","2019-12-09 00:00:00","9999-12-31 23:59:59",37.958616,-122.356061,1,0
"AQY BB-636","San Pablo - Rumrill","Residence","322 W Richmond Ave","Pt. Richmond","2019-12-05 00:00:00","9999-12-31 23:59:59",37.927338,-122.386987,1,0
"AQY BB-637","San Pablo - Rumrill","Residence ","630 31st Street","Richmond","2019-12-09 00:00:00","9999-12-31 23:59:59",37.939946,-122.3381,1,0
"AQY BB-638","San Pablo - Rumrill","Residence","626 Alamo Ave","Richmond","2019-12-21 00:00:00","9999-12-31 23:59:59",37.953197,-122.362551,1,0
"AQY BB-639","San Pablo - Rumrill","Residence","222 Water St","Pt. Richmond","2019-12-19 00:00:00","9999-12-31 23:59:59",37.925888,-122.388734,1,0
"AQY BB-640","San Pablo - Rumrill","Residence","1732 6th St","North Richmond","2019-12-05 00:00:00","9999-12-31 23:59:59",37.958527,-122.362237,1,0
"AQY BB-641","San Pablo - Rumrill","Residence","116 Bayside Court","Richmond","2019-12-06 00:00:00","9999-12-31 23:59:59",37.913046,-122.340619,1,0
"AQY BB-643","San Pablo - Rumrill","Residence","3327 11th Street","San Pablo","2019-12-06 00:00:00","9999-12-31 23:59:59",37.978882,-122.350804,1,0
"AQY BB-644","San Pablo - Rumrill","Residence","2927 Maricopa Ave","Richmond","2019-12-06 00:00:00","9999-12-31 23:59:59",37.950787,-122.33812,1,0
"AQY BB-645","San Pablo - Rumrill","Residence","775 Lassen st","Richmond","2019-12-09 00:00:00","9999-12-31 23:59:59",37.943383,-122.326871,1,0
"AQY BB-646","San Pablo - Rumrill","Residence","127 Schooner Court","Richmond","2019-12-21 00:00:00","9999-12-31 23:59:59",37.91678,-122.350017,1,0
"AQY BB-647","San Pablo - Rumrill","Residence","5222 Esmond Ave","Richmond","2019-12-16 00:00:00","9999-12-31 23:59:59",37.946382,-122.326398,1,0
"AQY BB-648","Berkeley Aquatic Park","Residence","6205 Panama Avenue","Richmond Annex","2019-12-05 00:00:00","9999-12-31 23:59:59",37.907775,-122.307056,1,0
"AQY BB-649","San Pablo - Rumrill","Residence","6526 Kensington Ave","Richmond","2019-12-06 00:00:00","9999-12-31 23:59:59",37.940881,-122.309832,1,0
"AQY BB-651","San Pablo - Rumrill","Residence ","444 30th St","Richmond","2019-12-09 00:00:00","9999-12-31 23:59:59",37.936658,-122.339732,1,0
"AQY BB-652","San Pablo - Rumrill","Residence","2111 Barrett Ave","Richmond","2019-12-16 00:00:00","9999-12-31 23:59:59",37.938642,-122.349205,1,0
