"lat","lon","modality","units","proxy_raw","proxy_site","timestamp","proxy_rand"
37.9604,-122.3571,"OZONE","PPB",23.7,"San Pablo - Rumrill","2020-08-04 23:00:00",23.7000039436508
37.864767,-122.302741,"OZONE","PPB",16.3,"Berkeley Aquatic Park","2020-08-04 23:00:00",16.3000097553894
37.9604,-122.3571,"OZONE","PPB",24.5,"San Pablo - Rumrill","2020-08-04 22:00:00",24.5000074286377
37.864767,-122.302741,"OZONE","PPB",17.6,"Berkeley Aquatic Park","2020-08-04 22:00:00",17.6000052094672
37.9604,-122.3571,"OZONE","PPB",22.7,"San Pablo - Rumrill","2020-08-04 21:00:00",22.7000023300781
37.864767,-122.302741,"OZONE","PPB",16.5,"Berkeley Aquatic Park","2020-08-04 21:00:00",16.5000044851264
37.9604,-122.3571,"OZONE","PPB",22.7,"San Pablo - Rumrill","2020-08-04 20:00:00",22.7000082336077
37.864767,-122.302741,"OZONE","PPB",18,"Berkeley Aquatic Park","2020-08-04 20:00:00",18.0000075292144
37.9604,-122.3571,"OZONE","PPB",23.5,"San Pablo - Rumrill","2020-08-04 19:00:00",23.5000045412988
37.864767,-122.302741,"OZONE","PPB",16.4,"Berkeley Aquatic Park","2020-08-04 19:00:00",16.4000056876211
37.9604,-122.3571,"OZONE","PPB",21.9,"San Pablo - Rumrill","2020-08-04 18:00:00",21.9000034442533
37.864767,-122.302741,"OZONE","PPB",16,"Berkeley Aquatic Park","2020-08-04 18:00:00",16.0000013264979
37.9604,-122.3571,"OZONE","PPB",20,"San Pablo - Rumrill","2020-08-04 17:00:00",20.000001344635
37.864767,-122.302741,"OZONE","PPB",14.5,"Berkeley Aquatic Park","2020-08-04 17:00:00",14.5000042954697
37.9604,-122.3571,"OZONE","PPB",18.5,"San Pablo - Rumrill","2020-08-04 16:00:00",18.5000028873579
37.864767,-122.302741,"OZONE","PPB",11.7,"Berkeley Aquatic Park","2020-08-04 16:00:00",11.7000043938326
37.9604,-122.3571,"OZONE","PPB",17.1,"San Pablo - Rumrill","2020-08-04 15:00:00",17.1000053524828
37.864767,-122.302741,"OZONE","PPB",13.1,"Berkeley Aquatic Park","2020-08-04 15:00:00",13.1000019355568
37.9604,-122.3571,"OZONE","PPB",17.2,"San Pablo - Rumrill","2020-08-04 14:00:00",17.2000099239073
37.864767,-122.302741,"OZONE","PPB",9.5,"Berkeley Aquatic Park","2020-08-04 14:00:00",9.50000843508213
37.9604,-122.3571,"OZONE","PPB",17.1,"San Pablo - Rumrill","2020-08-04 13:00:00",17.1000014419172
37.864767,-122.302741,"OZONE","PPB",7.9,"Berkeley Aquatic Park","2020-08-04 13:00:00",7.90000240687582
37.9604,-122.3571,"OZONE","PPB",17.3,"San Pablo - Rumrill","2020-08-04 12:00:00",17.3000088370884
37.864767,-122.302741,"OZONE","PPB",14.1,"Berkeley Aquatic Park","2020-08-04 12:00:00",14.1000092118858
37.9604,-122.3571,"OZONE","PPB",17.4,"San Pablo - Rumrill","2020-08-04 11:00:00",17.4000057249346
37.864767,-122.302741,"OZONE","PPB",13.6,"Berkeley Aquatic Park","2020-08-04 11:00:00",13.6000055231027
37.9604,-122.3571,"OZONE","PPB",17,"San Pablo - Rumrill","2020-08-04 10:00:00",17.0000044932948
37.864767,-122.302741,"OZONE","PPB",15,"Berkeley Aquatic Park","2020-08-04 10:00:00",15.0000097042492
37.9604,-122.3571,"OZONE","PPB",19,"San Pablo - Rumrill","2020-08-04 09:00:00",19.0000096671731
37.864767,-122.302741,"OZONE","PPB",16,"Berkeley Aquatic Park","2020-08-04 09:00:00",16.0000097886942
37.9604,-122.3571,"OZONE","PPB",19.2,"San Pablo - Rumrill","2020-08-04 08:00:00",19.20000172001
37.864767,-122.302741,"OZONE","PPB",18.4,"Berkeley Aquatic Park","2020-08-04 08:00:00",18.4000060715354
37.9604,-122.3571,"OZONE","PPB",18.2,"San Pablo - Rumrill","2020-08-04 07:00:00",18.2000043830921
37.864767,-122.302741,"OZONE","PPB",17.5,"Berkeley Aquatic Park","2020-08-04 07:00:00",17.5000021667742
37.9604,-122.3571,"OZONE","PPB",17,"San Pablo - Rumrill","2020-08-04 06:00:00",17.0000090749528
37.864767,-122.302741,"OZONE","PPB",17.6,"Berkeley Aquatic Park","2020-08-04 06:00:00",17.6000061864318
37.9604,-122.3571,"OZONE","PPB",15.5,"San Pablo - Rumrill","2020-08-04 05:00:00",15.5000088984783
37.864767,-122.302741,"OZONE","PPB",16.4,"Berkeley Aquatic Park","2020-08-04 05:00:00",16.4000033351425
37.9604,-122.3571,"OZONE","PPB",15.1,"San Pablo - Rumrill","2020-08-04 04:00:00",15.10000468191
37.864767,-122.302741,"OZONE","PPB",15.8,"Berkeley Aquatic Park","2020-08-04 04:00:00",15.800007213168
37.9604,-122.3571,"OZONE","PPB",16.5,"San Pablo - Rumrill","2020-08-04 03:00:00",16.5000058036021
37.864767,-122.302741,"OZONE","PPB",14.1,"Berkeley Aquatic Park","2020-08-04 03:00:00",14.1000050075495
37.9604,-122.3571,"OZONE","PPB",16.6,"San Pablo - Rumrill","2020-08-04 02:00:00",16.60000246268
37.864767,-122.302741,"OZONE","PPB",14.8,"Berkeley Aquatic Park","2020-08-04 02:00:00",14.8000074950877
37.9604,-122.3571,"OZONE","PPB",18,"San Pablo - Rumrill","2020-08-04 01:00:00",18.0000065388459
37.864767,-122.302741,"OZONE","PPB",15.1,"Berkeley Aquatic Park","2020-08-04 01:00:00",15.1000086602363
37.9604,-122.3571,"OZONE","PPB",17.2,"San Pablo - Rumrill","2020-08-04 00:00:00",17.2000097345194
37.864767,-122.302741,"OZONE","PPB",13.4,"Berkeley Aquatic Park","2020-08-04 00:00:00",13.4000066230648
37.9604,-122.3571,"OZONE","PPB",18.3,"San Pablo - Rumrill","2020-08-03 23:00:00",18.3000015169084
37.864767,-122.302741,"OZONE","PPB",13.9,"Berkeley Aquatic Park","2020-08-03 23:00:00",13.9000096564005
37.9604,-122.3571,"OZONE","PPB",19,"San Pablo - Rumrill","2020-08-03 22:00:00",19.0000050994029
37.864767,-122.302741,"OZONE","PPB",15.1,"Berkeley Aquatic Park","2020-08-03 22:00:00",15.1000063826621
37.9604,-122.3571,"OZONE","PPB",21.6,"San Pablo - Rumrill","2020-08-03 21:00:00",21.6000064993725
