"ID","ks_O3_run","slope_O3_run","offset_O3_run"
"AQY BB-607",1,1,1
"AQY BB-609",2,1,0
"AQY BB-611",0,0,0
"AQY BB-634",3,0,3
"AQY BB-635",1,0,1
"AQY BB-636",2,0,2
"AQY BB-637",4,0,4
"AQY BB-638",3,3,0
"AQY BB-639",3,0,3
"AQY BB-640",1,0,1
"AQY BB-641",1,0,1
"AQY BB-643",0,0,0
"AQY BB-644",2,0,2
"AQY BB-645",NA,NA,NA
"AQY BB-646",NA,0,0
"AQY BB-647",2,0,0
"AQY BB-648",3,1,0
"AQY BB-649",1,0,1
"AQY BB-651",NA,NA,NA
"AQY BB-652",NA,1,69
"AQY BB-788",0,0,0
"AQY BB-793",0,0,0
"AQY BB-794",0,0,0
"AQY BB-795",0,0,0
"AQY BB-798",2,0,2
"AQY BB-805",3,0,3
"AQY BB-809",0,0,0
"AQY BB-808",3,0,4
"AQY BB-801",1,1,1
"AQY BB-806",0,0,0
