"ID","ks","gain","offset","ks_detected","gain_detected","offset_detected","time_of_first_flag"
"AQY BB-607",106,32,0,"2020-12-27 14:00:00","2020-12-30 16:00:00","2199-01-01 00:00:00","2020-12-27 14:00:00"
"AQY BB-608",0,0,0,"2199-01-01 00:00:00","2199-01-01 00:00:00","2199-01-01 00:00:00","2020-12-27 14:00:00"
"AQY BB-609",39,0,0,"2020-12-27 14:00:00","2199-01-01 00:00:00","2199-01-01 00:00:00","2020-12-27 14:00:00"
"AQY BB-610",63,10,58,"2020-12-27 14:00:00","2020-12-30 16:00:00","2020-12-27 23:00:00","2020-12-27 14:00:00"
"AQY BB-611",0,0,0,"2199-01-01 00:00:00","2199-01-01 00:00:00","2199-01-01 00:00:00","2020-12-27 14:00:00"
"AQY BB-633",73,0,0,"2020-12-27 14:00:00","2199-01-01 00:00:00","2199-01-01 00:00:00","2020-12-27 14:00:00"
"AQY BB-634",0,0,0,"2199-01-01 00:00:00","2199-01-01 00:00:00","2199-01-01 00:00:00","2020-12-27 14:00:00"
"AQY BB-635",5,0,1,"2020-12-27 14:00:00","2199-01-01 00:00:00","2020-12-27 23:00:00","2020-12-27 14:00:00"
"AQY BB-636",0,0,0,"2199-01-01 00:00:00","2199-01-01 00:00:00","2199-01-01 00:00:00","2020-12-27 14:00:00"
"AQY BB-637",22,19,0,"2020-12-27 14:00:00","2020-12-30 16:00:00","2199-01-01 00:00:00","2020-12-27 14:00:00"
"AQY BB-638",0,0,0,"2199-01-01 00:00:00","2199-01-01 00:00:00","2199-01-01 00:00:00","2020-12-27 14:00:00"
"AQY BB-639",0,0,0,"2199-01-01 00:00:00","2199-01-01 00:00:00","2199-01-01 00:00:00","2020-12-27 14:00:00"
"AQY BB-640",0,9,6,"2199-01-01 00:00:00","2020-12-30 16:00:00","2020-12-27 23:00:00","2020-12-27 14:00:00"
"AQY BB-641",0,0,0,"2199-01-01 00:00:00","2199-01-01 00:00:00","2199-01-01 00:00:00","2020-12-27 14:00:00"
"AQY BB-642",0,0,0,"2199-01-01 00:00:00","2199-01-01 00:00:00","2199-01-01 00:00:00","2020-12-27 14:00:00"
