"ID","time_of_first_flag","ks","gain","offset"
"AQY BB-607","2199-01-01 00:00:00",0,0,0
"AQY BB-608","2199-01-01 00:00:00",0,0,0
"AQY BB-609","2199-01-01 00:00:00",0,0,0
"AQY BB-610","2199-01-01 00:00:00",0,0,0
"AQY BB-611","2199-01-01 00:00:00",0,0,0
"AQY BB-633","2020-09-13 06:00:00",8,0,0
"AQY BB-634","2199-01-01 00:00:00",0,0,0
"AQY BB-635","2199-01-01 00:00:00",0,0,0
"AQY BB-636","2199-01-01 00:00:00",0,0,0
"AQY BB-637","2199-01-01 00:00:00",0,0,0
"AQY BB-638","2199-01-01 00:00:00",0,0,0
"AQY BB-639","2199-01-01 00:00:00",0,0,0
"AQY BB-640","2199-01-01 00:00:00",0,0,0
"AQY BB-641","2199-01-01 00:00:00",0,0,0
"AQY BB-642","2020-09-11 10:00:00",50,0,0
"AQY BB-643","2199-01-01 00:00:00",0,0,0
"AQY BB-644","2199-01-01 00:00:00",0,0,0
"AQY BB-645","2199-01-01 00:00:00",0,0,0
"AQY BB-646","2199-01-01 00:00:00",0,0,0
"AQY BB-647","2199-01-01 00:00:00",0,0,0
"AQY BB-648","2199-01-01 00:00:00",0,0,0
"AQY BB-649","2199-01-01 00:00:00",0,0,0
"AQY BB-650","2199-01-01 00:00:00",0,0,0
"AQY BB-651","2199-01-01 00:00:00",0,0,0
"AQY BB-652","2199-01-01 00:00:00",0,0,0
"AQY BB-787","2199-01-01 00:00:00",0,0,0
"AQY BB-788","2199-01-01 00:00:00",0,0,0
"AQY BB-789","2199-01-01 00:00:00",0,0,0
"AQY BB-790","2199-01-01 00:00:00",0,0,0
"AQY BB-791","2199-01-01 00:00:00",0,0,0
"AQY BB-792","2199-01-01 00:00:00",0,0,0
"AQY BB-793","2199-01-01 00:00:00",0,0,0
"AQY BB-794","2199-01-01 00:00:00",0,0,0
"AQY BB-795","2199-01-01 00:00:00",0,0,0
"AQY BB-796","2199-01-01 00:00:00",0,0,0
"AQY BB-797","2199-01-01 00:00:00",0,0,0
"AQY BB-798","2199-01-01 00:00:00",0,0,0
"AQY BB-799","2199-01-01 00:00:00",0,0,0
"AQY BB-800","2199-01-01 00:00:00",0,0,0
"AQY BB-801","2199-01-01 00:00:00",0,0,0
"AQY BB-802","2199-01-01 00:00:00",0,0,0
"AQY BB-804","2199-01-01 00:00:00",0,0,0
"AQY BB-805","2199-01-01 00:00:00",0,0,0
"AQY BB-806","2199-01-01 00:00:00",0,0,0
"AQY BB-807","2199-01-01 00:00:00",0,0,0
"AQY BB-808","2199-01-01 00:00:00",0,0,0
"AQY BB-809","2199-01-01 00:00:00",0,0,0
"AQY BB-810","2199-01-01 00:00:00",0,0,0
"AQY BB-811","2199-01-01 00:00:00",0,0,0
"AQY BE-645A","2199-01-01 00:00:00",0,0,0
"AQY BE-803A","2199-01-01 00:00:00",0,0,0
