"ID","description","address","city","proxy_site","lat","lon","NO2.b0","NO2.b1","NO2.b2","NO2.b0_kl","NO2.b1_kl","NO2.b2_kl","start_date","end_date"
"AQY BB-607","Pt. San Pablo Harbor","1900 Stenmark Drive","Pt. San Pablo","San Pablo - Rumrill",37.962284,-122.418807,0,1,1,0,1,1,"2019-12-05","2020-07-04"
"AQY BB-607","Pt. San Pablo Harbor","1900 Stenmark Drive","Pt. San Pablo","San Pablo - Rumrill",37.962284,-122.418807,12.2452124163655,0.476782686363144,0.476782686363144,2.35951377002304,-0.0824127479927383,-0.0955116791891772,"2020-07-05","9999-12-31"
"AQY BB-609","Residence","1910 Ralston Av","Richmond","Vallejo",37.93897,-122.316503,0,1,1,0,1,1,"2019-12-18","2020-07-04"
"AQY BB-609","Residence","1910 Ralston Av","Richmond","Vallejo",37.93897,-122.316503,9.84787728404548,0.649100099180042,0.649100099180042,6.46427938692018,0.288252732395021,0.314088008788044,"2020-07-05","9999-12-31"
"AQY BB-610","Residence","3200 Moran Avenue","Richmond","Vallejo",38.951854,-122.336586,0,1,1,0,1,1,"2020-03-13","9999-12-31"
"AQY BB-611","Residence","521 2nd St","Richmond","Vallejo",37.938903,-122.367769,0,1,1,0,1,1,"2019-12-05","2020-07-04"
"AQY BB-611","Residence","521 2nd St","Richmond","Vallejo",37.938903,-122.367769,12.118216040525,0.520778161048397,0.520778161048397,6.26602420604992,0.194374674779832,0.19963626910071,"2020-07-05","9999-12-31"
"AQY BB-634","Business","600 Hoffman Blvd","Richmond","San Leandro",37.923745,-122.362565,0,1,1,0,1,1,"2019-12-06","9999-12-31"
"AQY BB-635","Residence","1761 14th Street ","San Pablo ","San Pablo - Rumrill",37.958616,-122.356061,0,1,1,0,1,1,"2019-12-09","9999-12-31"
"AQY BB-636","Residence","322 W Richmond Ave","Pt. Richmond","San Leandro",37.927338,-122.386987,0,1,1,0,1,1,"2019-12-05","9999-12-31"
"AQY BB-637","Residence ","630 31st Street","Richmond","San Pablo - Rumrill",37.939946,-122.3381,0,1,1,0,1,1,"2019-12-09","2020-07-04"
"AQY BB-637","Residence ","630 31st Street","Richmond","San Pablo - Rumrill",37.939946,-122.3381,5.2510883677224,1.11833044556654,1.11833044556654,3.71351107846933,0.217022712705194,0.197814053721971,"2020-07-05","9999-12-31"
"AQY BB-638","Residence","626 Alamo Ave","Richmond","San Pablo - Rumrill",37.953197,-122.362551,0,1,1,0,1,1,"2019-12-21","2020-07-04"
"AQY BB-638","Residence","626 Alamo Ave","Richmond","San Pablo - Rumrill",37.953197,-122.362551,2.76819250841922,0.682557317247115,0.682557317247115,3.12801982384508,0.0559103357275155,0.0238789310403611,"2020-07-05","9999-12-31"
"AQY BB-639","Residence","222 Water St","Pt. Richmond","San Leandro",37.925888,-122.388734,0,1,1,0,1,1,"2019-12-19","9999-12-31"
"AQY BB-640","Residence","1732 6th St","North Richmond","San Pablo - Rumrill",37.958527,-122.362237,0,1,1,0,1,1,"2019-12-05","2020-07-04"
"AQY BB-640","Residence","1732 6th St","North Richmond","San Pablo - Rumrill",37.958527,-122.362237,3.27338547858391,0.706419829023856,0.706419829023856,3.09159488165262,0.0712209564478463,0.0373626665169645,"2020-07-05","9999-12-31"
"AQY BB-641","Residence","116 Bayside Court","Richmond","Vallejo",37.913046,-122.340619,0,1,1,0,1,1,"2019-12-06","2020-07-04"
"AQY BB-641","Residence","116 Bayside Court","Richmond","Vallejo",37.913046,-122.340619,-15.1198600212122,1.05359222152139,1.05359222152139,1.06502088136401,0.182931336202982,0.241474847579284,"2020-07-05","9999-12-31"
"AQY BB-643","Residence","3327 11th Street","San Pablo","San Pablo - Rumrill",37.978882,-122.350804,0,1,1,0,1,1,"2019-12-06","2020-07-04"
"AQY BB-643","Residence","3327 11th Street","San Pablo","San Pablo - Rumrill",37.978882,-122.350804,0.679708172395209,0.547645988901051,0.547645988901051,1.71272691788644,0.193234435100137,0.15099412777912,"2020-07-05","9999-12-31"
"AQY BB-644","Residence","2927 Maricopa Ave","Richmond","Vallejo",37.950787,-122.33812,0,1,1,0,1,1,"2019-12-06","9999-12-31"
"AQY BB-645","Residence","775 Lassen st","Richmond","Berkeley Aquatic Park",37.943383,-122.326871,0,1,1,0,1,1,"2019-12-09","9999-12-31"
"AQY BB-646","Residence","127 Schooner Court","Richmond","Berkeley Aquatic Park",37.91678,-122.350017,0,1,1,0,1,1,"2019-12-21","2020-07-04"
"AQY BB-646","Residence","127 Schooner Court","Richmond","Berkeley Aquatic Park",37.91678,-122.350017,24.3299584782207,1.59867650252221,1.59867650252221,8.15509162219895,-0.0929933796848914,-0.0102517773366363,"2020-07-05","9999-12-31"
"AQY BB-647","Residence","5222 Esmond Ave","Richmond","Berkeley Aquatic Park",37.946382,-122.326398,0,1,1,0,1,1,"2019-12-16","2020-07-04"
"AQY BB-647","Residence","5222 Esmond Ave","Richmond","Berkeley Aquatic Park",37.946382,-122.326398,27.866212563242,1.95269798072331,1.95269798072331,7.75208357031595,-0.0428830266643387,0.0030748289596946,"2020-07-05","9999-12-31"
"AQY BB-648","Residence","6205 Panama Avenue","Richmond Annex","San Leandro",37.907775,-122.307056,0,1,1,0,1,1,"2019-12-05","9999-12-31"
"AQY BB-649","Residence","6526 Kensington Ave","Richmond","San Ramon",37.940881,-122.309832,0,1,1,0,1,1,"2019-12-06","2020-07-04"
"AQY BB-649","Residence","6526 Kensington Ave","Richmond","San Ramon",37.940881,-122.309832,10.0303382279147,0.753704929527527,0.753704929527527,5.08957054855478,0.22849666871996,0.248677747891268,"2020-07-05","9999-12-31"
"AQY BB-651","Residence ","444 30th St","Richmond","San Pablo - Rumrill",37.936658,-122.339732,0,1,1,0,1,1,"2019-12-09","9999-12-31"
"AQY BB-652","Residence","2111 Barrett Ave","Richmond","San Pablo - Rumrill",37.938642,-122.349205,0,1,1,0,1,1,"2019-12-16","2020-07-04"
"AQY BB-652","Residence","2111 Barrett Ave","Richmond","San Pablo - Rumrill",37.938642,-122.349205,8.54072161393951,0.386047190676266,0.386047190676266,4.42659497423183,0.220254846842613,0.127358266392601,"2020-07-05","9999-12-31"
"AQY BB-788","Residence","2334 Andrade Ave","Richmond","San Pablo - Rumrill",37.94755,-122.346511,0,1,1,0,1,1,"2020-03-05","2020-07-04"
"AQY BB-788","Residence","2334 Andrade Ave","Richmond","San Pablo - Rumrill",37.94755,-122.346511,-12.1409276580731,0.965627407017523,0.965627407017523,1.40220673788243,0.157596226261365,0.160632551819134,"2020-07-05","9999-12-31"
"AQY BB-793","Residence","5626 Bayview Avenue","Richmond","San Leandro",37.915453,-122.315955,0,1,1,0,1,1,"2020-03-13","9999-12-31"
"AQY BB-794","Residence","968 36th St","Richmond","Vallejo",37.946713,-122.332639,0,1,1,0,1,1,"2020-03-19","2020-07-04"
"AQY BB-794","Residence","968 36th St","Richmond","Vallejo",37.946713,-122.332639,-0.856166373321773,0.743134806473567,0.743134806473567,4.00495426620633,0.118317058916691,0.194424873305714,"2020-07-05","9999-12-31"
"AQY BB-795","Residence","4613 Wildwood Court","Richmond","San Ramon",37.975904,-122.284784,0,1,1,0,1,1,"2020-03-06","2020-07-04"
"AQY BB-795","Residence","4613 Wildwood Court","Richmond","San Ramon",37.975904,-122.284784,1.07190569746847,0.248394101965795,0.248394101965795,4.80176684552819,0.091652629612083,0.21041510514967,"2020-07-05","9999-12-31"
"AQY BB-798","Urban Farm","323 Brookside Dr","Richmond","San Pablo - Rumrill",37.965249,-122.366437,0,1,1,0,1,1,"2020-03-12","9999-12-31"
